amfi_code,cagr_3y,volatility,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,scheme_name,expense_ratio,rank_cagr,rank_sharpe,rank_alpha,rank_expense,rank_mdd,score_cagr,score_sharpe,score_alpha,score_expense,score_mdd,composite_score
120505,0.3345958827818125,0.19290949406318195,1.180101197660649,2.0293529404657464,0.29301371282563315,-0.017391171743071688,-0.18188513572116333,ICICI Pru Midcap Fund - Regular - Growth,1.36,1.0,5.0,3.0,15.0,25.0,100.0,90.0,95.0,65.0,40.0,85.25
148567,0.30427322110742283,0.14193706754620353,1.4482911703262598,2.3856443733688177,0.2711501636821103,-0.02813331223165745,-0.11265729075028226,Mirae Asset Large Cap Fund - Regular - Growth,1.46,6.0,1.0,7.0,23.0,8.0,87.5,100.0,85.0,45.0,82.5,83.25
120843,0.3039461719279344,0.1588698652360926,1.3067439695428407,2.364320032166717,0.2727835993505962,-0.008737359353900988,-0.1297396816518681,Kotak Flexicap Fund - Regular - Growth,1.45,7.0,2.0,5.0,22.0,13.0,85.0,97.5,90.0,47.5,70.0,82.0
100033,0.30542236377825116,0.18936710835214157,1.0936987435346315,1.8291339615146935,0.2723430403957973,-0.011199710059456157,-0.16217208574644837,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.38,5.0,7.0,6.0,17.0,20.0,90.0,85.0,87.5,60.0,52.5,80.0
148569,0.3172213553907466,0.17674006691346697,1.2349300257743294,2.1469139263460555,0.28347336470728673,-0.010201365088271777,-0.16396742946932696,Mirae Asset Tax Saver Fund - Regular - Growth,1.6,4.0,3.0,4.0,36.5,21.0,92.5,95.0,92.5,11.25,50.0,76.6875
119598,0.3289460577380041,0.2514057862438468,0.9453082575156092,1.6753165700125516,0.3011144193310002,0.0742664848380288,-0.28706005721764627,SBI Small Cap Fund - Regular Plan - Growth,1.43,2.0,14.0,1.0,21.0,36.0,97.5,67.5,100.0,50.0,12.5,74.875
120504,0.23635060111104123,0.14363780566736664,1.0265242847992995,1.8052937940992548,0.2120943009940057,0.017025361766949264,-0.12588275606922464,ICICI Pru Bluechip Fund - Direct - Growth,0.8,12.0,10.0,13.0,12.0,12.0,72.5,77.5,70.0,72.5,72.5,73.25
119552,0.22050760267444902,0.13939367612717515,0.9532794968660094,1.6097764896283082,0.1982932218749148,-0.019853025049675753,-0.11803493502764328,SBI Bluechip Fund - Direct Plan - Growth,0.66,15.0,12.0,15.0,4.0,11.0,65.0,72.5,65.0,92.5,75.0,72.0
149324,0.32628441876659364,0.24840205005242103,0.9497958246616028,1.6197931764914106,0.2981786893056835,0.13260808824054154,-0.3117190030063417,DSP Small Cap Fund - Regular - Growth,1.52,3.0,13.0,2.0,26.5,37.0,95.0,70.0,97.5,36.25,10.0,71.9375
119551,0.25842778201735306,0.13741434141879644,1.2082665673727178,2.140267129061794,0.23219648016717326,-0.05604508562674627,-0.1501238549864537,SBI Bluechip Fund - Regular Plan - Growth,1.54,10.0,4.0,10.0,30.5,17.0,77.5,92.5,77.5,26.25,60.0,71.8125
119094,0.283394029726723,0.19407117423334716,0.9982309868636414,1.703797480246301,0.25997054053321056,-0.05986815058386658,-0.20960883862039206,Axis Midcap Fund - Regular - Growth,1.38,9.0,11.0,9.0,17.0,28.0,80.0,75.0,80.0,60.0,32.5,71.0
149323,0.2958780141394928,0.17746159397550845,1.1321218524747243,1.8751010639192085,0.26583594480787764,0.0034785300797906724,-0.17248105753451418,DSP Midcap Fund - Regular - Growth,1.61,8.0,6.0,8.0,38.0,22.0,82.5,87.5,82.5,7.5,47.5,69.0
118632,0.2408630619525982,0.14148352294996663,1.0816591793457038,1.8501325468557266,0.21728068775563278,0.036434217731472866,-0.17414075086657282,Nippon India Large Cap Fund - Regular - Growth,1.51,11.0,8.0,11.0,24.5,23.0,75.0,82.5,75.0,41.25,45.0,68.8125
101206,0.2352224445905451,0.1456821284745432,1.0272133278753697,1.799562874698451,0.2139447485061358,0.03381398454659162,-0.11291596329323098,ABSL Frontline Equity Fund - Regular - Growth,1.6,13.0,9.0,12.0,36.5,9.0,70.0,80.0,72.5,11.25,80.0,65.1875
125497,0.1900360765866662,0.1466886675239951,0.7757902498211213,1.3306512447571366,0.1789129568352085,-0.0054593165590488425,-0.15200013055606393,HDFC Top 100 Fund - Direct Plan - Growth,0.92,16.0,18.0,16.0,14.0,18.0,62.5,57.49999999999999,62.5,67.5,57.49999999999999,61.5
148568,0.2209448884798042,0.15429144469823297,0.9262873467360144,1.6327409778735171,0.2079171509667248,5.11619674096076e-05,-0.15272594228234768,Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.52,14.0,15.0,14.0,26.5,19.0,67.5,65.0,67.5,36.25,55.00000000000001,60.9375
120503,0.18684036692199602,0.1388443751311978,0.7979728586052852,1.337943150066923,0.17587937785242744,-0.004111147836045636,-0.13897862823061596,ICICI Pru Bluechip Fund - Regular - Growth,1.42,17.0,17.0,18.0,20.0,14.0,60.0,60.0,57.49999999999999,52.5,67.5,59.125
102885,0.1794762889053929,0.12836628397860564,0.8170993373494367,1.435742013064949,0.16992711557794749,-0.0018841874054637215,-0.10859862152502295,UTI Nifty 50 Index Fund - Regular - Growth,1.57,18.0,16.0,19.0,34.0,7.0,57.49999999999999,62.5,55.00000000000001,17.5,85.0,55.0
118635,0.16225768849698885,0.12983158874316314,0.6648569985490617,1.1379767187807421,0.15160602363545675,-0.013806609371555974,-0.11511457598975473,Nippon India ETF Nifty 50 BeES,0.89,23.0,19.0,23.0,13.0,10.0,45.0,55.00000000000001,45.0,70.0,77.5,54.5
118633,0.1667687441630381,0.13997213649186166,0.6452074382933211,1.1544757169236242,0.15503795076034138,0.013157652619096497,-0.18629743138595561,Nippon India Large Cap Fund - Direct - Growth,0.72,21.0,21.0,22.0,5.5,26.0,50.0,50.0,47.5,88.75,37.5,54.0625
120506,0.17082557980818236,0.1523051637967306,0.6488787755249535,1.0958951614736472,0.16283731486753183,0.047708015202565096,-0.19825658262982698,ICICI Pru Value Discovery Fund - Regular - Growth,1.41,20.0,20.0,20.0,19.0,27.0,52.5,52.5,52.5,55.00000000000001,35.0,51.125
120507,0.07230489801750184,0.004939126259512014,0.4957233929533115,1.052123882260927,0.06747180157927476,-0.0011254611770458527,-0.0009773140045926695,ICICI Pru Liquid Fund - Regular - Growth,0.74,29.0,23.0,31.0,7.0,1.0,30.0,45.0,25.0,85.0,100.0,48.0
118634,0.16481890716922987,0.25241520946340457,0.44843400890899143,0.7460146308533571,0.1780020912356628,0.009128170084160607,-0.23344886144833177,Nippon India Small Cap Fund - Regular - Growth,1.53,22.0,26.0,17.0,28.5,32.0,47.5,37.5,60.0,31.25,22.5,42.5625
125498,0.1143646562835492,0.18352430087335792,0.30061192104254764,0.5088128197169234,0.12055386350487392,-0.018512868789591505,-0.21117279560132163,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.78,26.0,27.0,26.0,10.0,29.0,37.5,35.0,37.5,77.5,30.0,42.125
149322,0.13624916999277836,0.14353859818510517,0.4640374492204772,0.7621288703723164,0.13129906992674878,0.014848756863667925,-0.14111986534883095,DSP Top 100 Equity Fund - Regular - Growth,1.54,24.0,25.0,24.0,30.5,15.0,42.5,40.0,42.5,26.25,65.0,41.6875
102887,0.17132193088880943,0.15758366917913,0.6195175900829827,1.0887552508030018,0.16179316452470288,0.04011620562000179,-0.21285398874796854,UTI Flexi Cap Fund - Regular - Growth,1.64,19.0,22.0,21.0,39.5,30.0,55.00000000000001,47.5,50.0,3.75,27.500000000000004,41.6875
120844,0.06913820264452619,0.0051331704873711385,-0.08874729621557491,-0.18772304774242665,0.06454601487990588,-7.563158272733974e-05,-0.0011629327956168582,Kotak Liquid Fund - Regular - Growth,0.6,30.0,34.0,32.0,3.0,2.0,27.500000000000004,17.5,22.5,95.0,97.5,41.125
119093,0.07907243021107146,0.13983295593638864,0.12961449795669325,0.22108683979276364,0.08329931222337687,-0.008427720099019353,-0.21751396370148143,Axis Bluechip Fund - Direct - Growth,0.75,28.0,29.0,28.0,8.0,31.0,32.5,30.0,32.5,82.5,25.0,38.625
120841,0.13449705574319304,0.13463795800784437,0.49427253786723574,0.8625738849916591,0.13068278268538389,0.04167578236653616,-0.17573614164687393,Kotak Bluechip Fund - Regular - Growth,1.59,25.0,24.0,25.0,35.0,24.0,40.0,42.5,40.0,15.0,42.5,37.125
118636,0.052455061535798375,0.03985538155388261,-0.356629507514368,-0.6135251287271027,0.05096267106480351,-0.008492388448091661,-0.08316361763638586,Nippon India Gilt Securities Fund - Regular - Growth,0.55,35.0,38.0,35.0,1.0,6.0,15.0,7.5,15.0,100.0,87.5,33.125
119120,0.058294572923307975,0.03967062369033869,-0.22657538662791585,-0.3767670081706666,0.055762723198290544,0.011990672594122525,-0.04328728923970041,SBI Magnum Gilt Fund - Regular Plan - Growth,0.77,34.0,37.0,34.0,9.0,5.0,17.5,10.0,17.5,80.0,90.0,32.25
101208,0.06516623775248709,0.005064371352310744,-0.8155673679088281,-1.6810378667512855,0.06084211292226629,0.0013273169546884347,-0.0016224980244715441,ABSL Liquid Fund - Regular - Growth,0.79,32.0,40.0,33.0,11.0,3.0,22.5,2.5,20.0,75.0,95.0,32.125
101207,0.08212421407702153,0.25797322217077745,0.16266076928646755,0.27664379626092317,0.10820454812152297,-0.059855845864600625,-0.35446916493366043,ABSL Small Cap Fund - Regular - Growth,1.53,27.0,28.0,27.0,28.5,38.0,35.0,32.5,35.0,31.25,7.5,31.0625
100025,0.04545637646995426,0.03905245528100161,-0.5670947928476847,-0.9418212366054205,0.043189313078713834,-0.016175640851260303,-0.04308263824636326,HDFC Short Term Debt Fund - Regular - Growth,0.56,36.0,39.0,38.0,2.0,4.0,12.5,5.0,7.5,97.5,92.5,30.375
119092,0.06531433901087214,0.13950661341123843,0.030784850954585892,0.05257398559304799,0.0697017081135713,-0.019608739866468196,-0.14401617909337255,Axis Bluechip Fund - Regular - Growth,1.64,31.0,31.0,30.0,39.5,16.0,25.0,25.0,27.500000000000004,3.75,62.5,26.0625
119599,0.02495247580476656,0.24950125122855873,-0.057186625828180015,-0.0943872612945962,0.050572431452751046,0.007680982959652939,-0.5257422117012853,SBI Small Cap Fund - Direct Plan - Growth,0.72,38.0,32.0,36.0,5.5,40.0,7.5,22.5,12.5,88.75,2.5,23.9375
120842,0.06289725964436688,0.17894715006571874,0.07599984804658912,0.12469346986475659,0.0785865149291694,0.000647555554442608,-0.24003511326274685,Kotak Emerging Equity Fund - Regular - Growth,1.56,33.0,30.0,29.0,33.0,33.0,20.0,27.500000000000004,30.0,20.0,20.0,23.875
119095,0.010942892784174596,0.25066580232600455,-0.07597357117478933,-0.12818559275851948,0.0456801280646923,0.0132917234707355,-0.516777537085266,Axis Small Cap Fund - Regular - Growth,1.38,39.0,33.0,37.0,17.0,39.0,5.0,20.0,10.0,60.0,5.0,18.0
100016,0.028808361074979638,0.1454813480218387,-0.2015170675596694,-0.351047460152309,0.03622082583927385,-0.025909405765861097,-0.24734440880673306,HDFC Top 100 Fund - Regular Plan - Growth,1.55,37.0,35.0,39.0,32.0,34.0,10.0,15.0,5.0,22.5,17.5,12.875
102886,0.009139335082618771,0.18134576297311292,-0.20583160785470317,-0.34722230254727254,0.028949366251249286,-0.06147606747188307,-0.2800112356639297,UTI Mid Cap Fund - Regular - Growth,1.51,40.0,36.0,40.0,24.5,35.0,2.5,12.5,2.5,41.25,15.0,12.0625
